"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 16 09:26:58 GMT 2024","Fri Aug 16 09:26:59 GMT 2024","466","Surefire suite","Surefire test","api.AutomationExerciseTest","api.AutomationExerciseTest","testRequestProductList","testRequestProductList",""
"passed","Fri Aug 16 09:27:01 GMT 2024","Fri Aug 16 09:27:01 GMT 2024","41","Surefire suite","Surefire test","api.ReqResInTest","api.ReqResInTest","testSingleUser","testSingleUser",""
"passed","Fri Aug 16 09:27:00 GMT 2024","Fri Aug 16 09:27:00 GMT 2024","134","Surefire suite","Surefire test","api.ReqResInTest","api.ReqResInTest","testRequestListUsers","testRequestListUsers",""
"passed","Fri Aug 16 09:26:56 GMT 2024","Fri Aug 16 09:26:58 GMT 2024","2267","Surefire suite","Surefire test","api.AutomationExerciseTest","api.AutomationExerciseTest","testApiGetAllProductsList","testApiGetAllProductsList",""
"passed","Fri Aug 16 09:27:01 GMT 2024","Fri Aug 16 09:27:01 GMT 2024","231","Surefire suite","Surefire test","api.ReqResInTest","api.ReqResInTest","testSingleResourceNotFound","testSingleResourceNotFound",""
"passed","Fri Aug 16 09:27:01 GMT 2024","Fri Aug 16 09:27:01 GMT 2024","248","Surefire suite","Surefire test","api.ReqResInTest","api.ReqResInTest","testSingleUserNotFound","testSingleUserNotFound",""
"passed","Fri Aug 16 09:27:00 GMT 2024","Fri Aug 16 09:27:01 GMT 2024","243","Surefire suite","Surefire test","api.ReqResInTest","api.ReqResInTest","testSingleResource","testSingleResource",""
"passed","Fri Aug 16 09:26:59 GMT 2024","Fri Aug 16 09:27:00 GMT 2024","1202","Surefire suite","Surefire test","api.ReqResInTest","api.ReqResInTest","testListResource","testListResource",""
