"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 22 17:01:30 GMT 2024","Thu Aug 22 17:01:30 GMT 2024","284","Surefire suite","Surefire test","api.PostReqresInTest","api.PostReqresInTest","testCreatePostPojo","testCreatePostPojo",""
"passed","Thu Aug 22 17:01:31 GMT 2024","Thu Aug 22 17:01:31 GMT 2024","243","Surefire suite","Surefire test","api.PostReqresInTest","api.PostReqresInTest","testLoginUnSuccessFul","testLoginUnSuccessFul",""
"passed","Thu Aug 22 17:01:30 GMT 2024","Thu Aug 22 17:01:31 GMT 2024","263","Surefire suite","Surefire test","api.PostReqresInTest","api.PostReqresInTest","testLoginSuccessful","testLoginSuccessful",""
"failed","Thu Aug 22 17:01:39 GMT 2024","Thu Aug 22 17:01:39 GMT 2024","44","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testSingleUserNotFound","testSingleUserNotFound",""
"passed","Thu Aug 22 17:01:30 GMT 2024","Thu Aug 22 17:01:30 GMT 2024","248","Surefire suite","Surefire test","api.PostReqresInTest","api.PostReqresInTest","testCreatePost","testCreatePost",""
"passed","Thu Aug 22 17:01:38 GMT 2024","Thu Aug 22 17:01:38 GMT 2024","60","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testGetSingleUser","testGetSingleUser",""
"passed","Thu Aug 22 17:01:29 GMT 2024","Thu Aug 22 17:01:29 GMT 2024","344","Surefire suite","Surefire test","api.PutReqresInTest","api.PutReqresInTest","testPutUpdateRequest","testPutUpdateRequest",""
"passed","Thu Aug 22 17:01:31 GMT 2024","Thu Aug 22 17:01:38 GMT 2024","7291","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testDelayedResponse","testDelayedResponse",""
"passed","Thu Aug 22 17:01:38 GMT 2024","Thu Aug 22 17:01:39 GMT 2024","132","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testGetUsers","testGetUsers",""
"passed","Thu Aug 22 17:01:26 GMT 2024","Thu Aug 22 17:01:28 GMT 2024","2241","Surefire suite","Surefire test","api.AutomationExerciseTest","api.AutomationExerciseTest","testApiGetAllProductsList","testApiGetAllProductsList",""
"passed","Thu Aug 22 17:01:31 GMT 2024","Thu Aug 22 17:01:31 GMT 2024","260","Surefire suite","Surefire test","api.PostReqresInTest","api.PostReqresInTest","testRegisterUnsuccessful","testRegisterUnsuccessful",""
"passed","Thu Aug 22 17:01:28 GMT 2024","Thu Aug 22 17:01:28 GMT 2024","528","Surefire suite","Surefire test","api.AutomationExerciseTest","api.AutomationExerciseTest","testRequestProductList","testRequestProductList",""
"passed","Thu Aug 22 17:01:39 GMT 2024","Thu Aug 22 17:01:39 GMT 2024","83","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testListResource","testListResource",""
"failed","Thu Aug 22 17:01:39 GMT 2024","Thu Aug 22 17:01:39 GMT 2024","277","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testSingleResourceNotFound","testSingleResourceNotFound",""
"passed","Thu Aug 22 17:01:28 GMT 2024","Thu Aug 22 17:01:29 GMT 2024","702","Surefire suite","Surefire test","api.PutReqresInTest","api.PutReqresInTest","testPutUpdate","testPutUpdate",""
"passed","Thu Aug 22 17:01:39 GMT 2024","Thu Aug 22 17:01:39 GMT 2024","48","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testSingleResource","testSingleResource",""
"passed","Thu Aug 22 17:01:29 GMT 2024","Thu Aug 22 17:01:30 GMT 2024","246","Surefire suite","Surefire test","api.DeleteReqresInTest","api.DeleteReqresInTest","testDelete","testDelete",""
