"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 19 18:06:21 GMT 2024","Mon Aug 19 18:06:23 GMT 2024","2136","Surefire suite","Surefire test","api.AutomationExerciseTest","api.AutomationExerciseTest","testApiGetAllProductsList","testApiGetAllProductsList",""
"passed","Mon Aug 19 18:06:25 GMT 2024","Mon Aug 19 18:06:26 GMT 2024","357","Surefire suite","Surefire test","api.PostReqresInTest","api.PostReqresInTest","testCreatePost","testCreatePost",""
"passed","Mon Aug 19 18:06:28 GMT 2024","Mon Aug 19 18:06:28 GMT 2024","350","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testSingleUserNotFound","testSingleUserNotFound",""
"passed","Mon Aug 19 18:06:28 GMT 2024","Mon Aug 19 18:06:28 GMT 2024","333","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testSingleResourceNotFound","testSingleResourceNotFound",""
"passed","Mon Aug 19 18:06:24 GMT 2024","Mon Aug 19 18:06:25 GMT 2024","776","Surefire suite","Surefire test","api.PutReqresInTest","api.PutReqresInTest","testPutUpdate","testPutUpdate",""
"passed","Mon Aug 19 18:06:27 GMT 2024","Mon Aug 19 18:06:27 GMT 2024","369","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testListResource","testListResource",""
"passed","Mon Aug 19 18:06:26 GMT 2024","Mon Aug 19 18:06:26 GMT 2024","44","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testGetSingleUser","testGetSingleUser",""
"passed","Mon Aug 19 18:06:25 GMT 2024","Mon Aug 19 18:06:25 GMT 2024","360","Surefire suite","Surefire test","api.DeleteReqresInTest","api.DeleteReqresInTest","testDelete","testDelete",""
"passed","Mon Aug 19 18:06:27 GMT 2024","Mon Aug 19 18:06:28 GMT 2024","337","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testSingleResource","testSingleResource",""
"passed","Mon Aug 19 18:06:26 GMT 2024","Mon Aug 19 18:06:27 GMT 2024","888","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testGetUsers","testGetUsers",""
"passed","Mon Aug 19 18:06:26 GMT 2024","Mon Aug 19 18:06:26 GMT 2024","360","Surefire suite","Surefire test","api.PostReqresInTest","api.PostReqresInTest","testCreatePostPojo","testCreatePostPojo",""
"passed","Mon Aug 19 18:06:23 GMT 2024","Mon Aug 19 18:06:24 GMT 2024","388","Surefire suite","Surefire test","api.AutomationExerciseTest","api.AutomationExerciseTest","testRequestProductList","testRequestProductList",""
"passed","Mon Aug 19 18:06:25 GMT 2024","Mon Aug 19 18:06:25 GMT 2024","443","Surefire suite","Surefire test","api.PutReqresInTest","api.PutReqresInTest","testPutUpdateRequest","testPutUpdateRequest",""
